Year,Symbol,Name,Sector,Industry,Country,Market_Cap,IPO_Year
2025,A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,33918670241.0,1999.0
2025,A,Agilent Technologies Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,United States,33918670241.0,1999.0
2025,AA,Alcoa Corporation Common Stock ,Industrials,Aluminum,United States,8279121097.0,2016.0
2025,AA,Alcoa Corporation Common Stock ,Industrials,Aluminum,United States,8279121097.0,2016.0
2025,AAL,American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services,United States,7325391983.0,
2025,AAMI,Acadian Asset Management Inc. Common Stock,Finance,Investment Managers,United Kingdom,998782298.0,2014.0
2025,AAON,AAON Inc. Common Stock,Industrials,Industrial Machinery/Components,United States,6547366469.0,
2025,AAP,Advance Auto Parts Inc.,Consumer Discretionary,Auto & Home Supply Stores,United States,2413841230.0,
2025,AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing,United States,3362691041050.0,1980.0
2025,AAT,American Assets Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts,United States,1238049320.0,2011.0
2025,ABBV,AbbVie Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,357872737016.0,2012.0
2025,ABCB,Ameris Bancorp Common Stock,Finance,Major Banks,United States,4030153335.0,1994.0
2025,ABCL,AbCellera Biologics Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology,Canada,695410656.0,2020.0
2025,ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,United States,4443014294.0,2002.0
2025,ABM,ABM Industries Incorporated Common Stock,Finance,Diversified Commercial Services,United States,2998310635.0,
2025,ABNB,Airbnb Inc. Class A Common Stock,Finance,Diversified Commercial Services,United States,79227300614.0,2020.0
2025,ABR,Arbor Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts,United States,2281645281.0,2004.0
2025,ABT,Abbott Laboratories Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,227803380035.0,
2025,ABUS,Arbutus Biopharma Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,Canada,619637810.0,
2025,ABVX,Abivax SA American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations,France,432274058.0,2023.0
2025,ACA,Arcosa Inc. Common Stock ,Industrials,Metal Fabrications,United States,3993780599.0,2018.0
2025,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,2867094607.0,1985.0
2025,ACCD,Accolade Inc. Common Stock,Consumer Discretionary,Business Services,United States,571098556.0,2020.0
2025,ACCO,Acco Brands Corporation Common Stock,Consumer Discretionary,Publishing,United States,418893346.0,
2025,ACDC,ProFrac Holding Corp. Class A Common Stock,Energy,Oilfield Services/Equipment,United States,1313463142.0,2022.0
2025,ACEL,Accel Entertainment Inc. ,Consumer Discretionary,Services-Misc. Amusement & Recreation,United States,876145388.0,2017.0
2025,ACET,Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations,United States,70282888.0,2018.0
2025,ACGL,Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers,Bermuda,36387130458.0,
2025,ACHC,Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities,United States,2798540825.0,
2025,ACHR,Archer Aviation Inc. Class A Common Stock,Industrials,Aerospace,United States,4263816275.0,2020.0
2025,ACI,Albertsons Companies Inc. Class A Common Stock,Consumer Staples,Food Chains,United States,12265460353.0,2020.0
2025,ACIW,ACI Worldwide Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,5811388665.0,
2025,ACLS,Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components,United States,1729249595.0,2000.0
2025,ACLX,Arcellx Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,3764214262.0,2022.0
2025,ACM,AECOM Common Stock,Consumer Discretionary,Military/Government/Technical,United States,12548460201.0,2007.0
2025,ACMR,ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components,United States,1699451632.0,2017.0
2025,ACN,Accenture plc Class A Ordinary Shares (Ireland),Consumer Discretionary,Business Services,Ireland,209391989892.0,2001.0
2025,ACNB,ACNB Corporation Common Stock,Finance,Major Banks,United States,440686198.0,
2025,ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate,Real Estate Investment Trusts,United States,262216350.0,2012.0
2025,ACRS,Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,174828490.0,2015.0
2025,ACRV,Acrivon Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations,United States,78463466.0,2022.0
2025,ACT,Enact Holdings Inc. Common Stock,Finance,Specialty Insurers,United States,5320431820.0,2021.0
2025,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies,United States,322849094.0,
2025,ACVA,ACV Auctions Inc. Class A Common Stock,Consumer Discretionary,Business Services,United States,0.0,2025.0
2025,ADBE,Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,168997590000.0,1986.0
2025,ADC,Agree Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts,United States,8150901580.0,
2025,ADEA,Adeia Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,1501900604.0,2003.0
2025,ADI,Analog Devices Inc. Common Stock,Technology,Semiconductors,United States,103629326358.0,
2025,ADM,Archer-Daniels-Midland Company Common Stock,Consumer Staples,Packaged Foods,United States,23160257388.0,
2025,ADMA,ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,4818834228.0,
2025,ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.,United States,1133860701.0,2016.0
2025,ADP,Automatic Data Processing Inc. Common Stock,Technology,EDP Services,United States,124270576849.0,
2025,ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),United States,1221345692.0,2019.0
2025,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,Industrial Specialties,Ireland,758771445.0,
2025,ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software,United States,58009150000.0,
2025,ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services,United States,7213621838.0,2018.0
2025,ADTN,ADTRAN Holdings Inc. Common Stock,Utilities,Telecommunications Equipment,United States,736309504.0,1994.0
2025,ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services,United States,1777306197.0,2009.0
2025,ADV,Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Business Services,United States,511040081.0,2019.0
2025,AEE,Ameren Corporation Common Stock,Utilities,Power Generation,United States,26620853635.0,
2025,AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products,United States,255521514.0,1997.0
2025,AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components,United States,3772921533.0,1995.0
2025,AEM,Agnico Eagle Mines Limited Common Stock,Basic Materials,Precious Metals,Canada,54120681520.0,
2025,AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores,United States,2054642955.0,
2025,AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central,United States,56035246232.0,
2025,AER,AerCap Holdings N.V. Ordinary Shares,Consumer Discretionary,Diversified Commercial Services,Netherlands,19193844201.0,2006.0
2025,AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central,United States,8848923799.0,
2025,AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.,United States,349073329.0,
2025,AFCG,Advanced Flower Capital Inc. Common Stock,Finance,Real Estate,United States,142128884.0,2021.0
2025,AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers,United States,10730393684.0,
2025,AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance,United States,60551050877.0,
2025,AFMD,Affimed N.V.,Health Care,Biotechnology: Pharmaceutical Preparations,Germany,12258108.0,2014.0
